7zip	25.01+dfsg-1~deb13u2
libdnnl3.6	3.7.2+ds-2
libdotconf0	1.4.1-1
libdouble-conversion3	3.3.1-1
libdpkg-perl	1.22.22
libdrm2	2.4.124-2
libdrm2	2.4.124-2
libdrm-amdgpu1	2.4.124-2
libdrm-amdgpu1	2.4.124-2
libdrm-common	2.4.124-2
libdrm-intel1	2.4.124-2
libdrm-intel1	2.4.124-2
libdrm-nouveau2	2.4.124-2
libdrm-radeon1	2.4.124-2
libduktape207	2.7.0-2+b2
libduktape207	2.7.0-2+b2
libdv4t64	1.0.0-17.1+b1
libdv4t64	1.0.0-17.1+b1
libdvbpsi10	1.3.3-1+b2
libdvdnav4	6.1.1-3+b1
libdvdnav4	6.1.1-3+b1
libdvdread8t64	6.1.3-2
libdvdread8t64	6.1.3-2
libdw1t64	0.192-4
libebackend-1.2-11t64	3.56.2-0+deb13u1
libebml5	1.4.5-1+b1
libebook-1.2-21t64	3.56.2-0+deb13u1
libebook-contacts-1.2-4t64	3.56.2-0+deb13u1
libebur128-1	1.2.6-1+b2
libecal-2.0-3	3.56.2-0+deb13u1
libedata-book-1.2-27t64	3.56.2-0+deb13u1
libedata-cal-2.0-2t64	3.56.2-0+deb13u1
libedataserver-1.2-27t64	3.56.2-0+deb13u1
libedataserverui-1.2-4t64	3.56.2-0+deb13u1
libedataserverui4-1.0-0t64	3.56.2-0+deb13u1
libedit2	3.1-20250104-1
libedit2	3.1-20250104-1
libeditorconfig0	0.12.9+~0.17.1-1
libefiboot1t64	38-3.1+b1
libefivar1t64	38-3.1+b1
libegl1	1.7.0-1+b2
libegl1	1.7.0-1+b2
libegl-mesa0	25.0.7-2+deb13u1
libegl-mesa0	25.0.7-2+deb13u1
libegl-nvidia0	550.163.01-2
libegl-nvidia0	550.163.01-2
libei1	1.3.901-1
libeis1	1.3.901-1
libelf1t64	0.192-4
libelf1t64	0.192-4
libenchant-2-2	2.8.2+dfsg1-3
libencode-locale-perl	1.05-3
libepoxy0	1.5.10-2
libepoxy0	1.5.10-2
liberror-perl	0.17030-1
libespeak-ng1	1.52.0+dfsg-5
libevdev2	1.13.4+dfsg-1
libevdocument3-4t64	48.1-3+deb13u1
libevent-core-2.1-7t64	2.1.12-stable-10+b1
libevview3-3t64	48.1-3+deb13u1
libexempi8	2.6.6-2
libexif12	0.6.25-1+deb13u1
libexif12	0.6.25-1+deb13u1
libexiv2-28	0.28.5+dfsg-1
libexiv2-data	0.28.5+dfsg-1
libexpat1	2.8.3-1~deb13u1
libexpat1	2.8.3-1~deb13u1
libext2fs2t64	1.47.2-3+b12
libextutils-depends-perl	0.8002-1
libfaad2	2.11.2-1
libfakeroot	1.37.1.1-1
libfdisk1	2.41.5-0+deb13u1
libffado2	2.4.9-2
libffi8	3.4.8-2
libffi8	3.4.8-2
libfftw3-double3	3.3.10-2+b1
libfftw3-single3	3.3.10-2+b1
libfido2-1	1.15.0-1+b1
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4+b4
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.35-1
libfishcamp1t64	1.2+20220607003151-3
libflac14	1.5.0+ds-2
libflac14	1.5.0+ds-2
libflashrom1	1.4.0-3
libflatpak0	1.16.6-1~deb13u2
libflite1	2.2-7
libfluidsynth3	2.4.4+dfsg-1+deb13u3
libfolks26	0.15.9-5+b1
libfolks-eds26	0.15.9-5+b1
libfont-afm-perl	1.20-4
libfontconfig1	2.15.0-2.3
libfontconfig1	2.15.0-2.3
libfontembed1t64	1.28.17-6+deb13u1
libfontenc1	1:1.1.8-1+b2
libfreeaptx0	0.2.2-1
libfreerdp3-3	3.15.0+dfsg-2.1+deb13u3
libfreerdp-client3-3	3.15.0+dfsg-2.1+deb13u3
libfreerdp-server3-3	3.15.0+dfsg-2.1+deb13u3
libfreetype6	2.13.3+dfsg-1+deb13u1
libfreetype6	2.13.3+dfsg-1+deb13u1
libfribidi0	1.0.16-1
libfribidi0	1.0.16-1
libftdi1-2	1.5-10
libfuse3-4	3.17.2-3
libfwupd3	2.0.20-1~deb13u1
libgav1-1	0.19.0-3+b1
libgav1-1	0.19.0-3+b1
libgbm1	25.0.7-2+deb13u1
libgbm1	25.0.7-2+deb13u1
libgcc-14-dev	14.2.0-19
libgcc-s1	14.2.0-19
libgcc-s1	14.2.0-19
libgck-1-0	3.41.2-3
libgck-2-2	4.4.0.1-3
libgcr-4-4	4.4.0.1-3
libgcr-base-3-1	3.41.2-3
libgcr-ui-3-1	3.41.2-3
libgcrypt20	1.11.0-7+deb13u1
libgcrypt20	1.11.0-7+deb13u1
libgd3	2.3.3-14~deb13u1
libgd3	2.3.3-14~deb13u1
libgdata22	0.18.1-9
libgdata-common	0.18.1-9
libgdbm6t64	1.24-2
libgdbm-compat4t64	1.24-2
libgdk-pixbuf-2.0-0	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf-2.0-0	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-bin	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1
libgdm1	48.0-2
libgee-0.8-2	0.20.8-1
libgeoclue-2-0	2.7.2-2
libgeocode-glib-2-0	3.26.4-1
libges-1.0-0	1.26.2-1
libgexiv2-2	0.14.3-1+b1
